HigherGroups,APG IV Order,APG IV Family,IUCN Family
Rosids,Myrtales,Lythraceae,LYTHRACEAE
Rosids,Malpighiales,Malpighiaceae,MALPIGHIACEAE
Rosids,Malvales,Malvaceae,MALVACEAE
Rosids,Myrtales,Melastomataceae,MELASTOMATACEAE
Rosids,Sapindales,Meliaceae,MELIACEAE
Rosids,Rosales,Moraceae,MORACEAE
Rosids,Brassicales,Moringaceae,MORINGACEAE
Rosids,Malvales,Muntingiaceae,MUNTINGIACEAE
Rosids,Fagales,Myricaceae,MYRICACEAE
Rosids,Myrtales,Myrtaceae,MYRTACEAE
Rosids,na,na,COCHLOSPERMACEAE
Rosids,na,na,MEDUSAGYNACEAE
Rosids,na,na,QUIINACEAE
Rosids,na,na,TURNERACEAE
Rosids,Zygophyllales,Zygophyllaceae,ZYGOPHYLLACEAE
Rosids,Malvales,Neuradaceae,
Rosids,Sapindales,Nitrariaceae,NITRARIACEAE
Rosids,Fagales,Nothofagaceae,NOTHOFAGACEAE
Rosids,Malpighiales,Ochnaceae,OCHNACEAE
Rosids,Myrtales,Onagraceae,ONAGRACEAE
Rosids,Oxalidales,Oxalidaceae,OXALIDACEAE
Rosids,Malpighiales,Pandaceae,PANDACEAE
Rosids,Malpighiales,Passifloraceae,PASSIFLORACEAE
Rosids,Myrtales,Penaeaceae,PENAEACEAE
Rosids,Brassicales,Pentadiplandraceae,
Rosids,Malpighiales,Peraceae,PERACEAE
Rosids,Huerteales,Petenaeaceae,PETENAEACEAE
Rosids,Malpighiales,Phyllanthaceae,PHYLLANTHACEAE
Rosids,Picramniales,Picramniaceae,PICRAMNIACEAE
Rosids,Malpighiales,Picrodendraceae,PICRODENDRACEAE
Rosids,Malpighiales,Podostemaceae,PODOSTEMACEAE
Rosids,Fabales,Polygalaceae,POLYGALACEAE
Rosids,Malpighiales,Putranjivaceae,PUTRANJIVACEAE
Rosids,Fabales,Quillajaceae,QUILLAJACEAE
Rosids,Malpighiales,Rafflesiaceae,RAFFLESIACEAE
Rosids,Brassicales,Resedaceae,RESEDACEAE
Rosids,Rosales,Rhamnaceae,RHAMNACEAE
Rosids,Malpighiales,Rhizophoraceae,RHIZOPHORACEAE
Rosids,Rosales,Rosaceae,ROSACEAE
Rosids,Sapindales,Rutaceae,RUTACEAE
Rosids,Malpighiales,Salicaceae,SALICACEAE
Rosids,Brassicales,Salvadoraceae,SALVADORACEAE
Rosids,Sapindales,Sapindaceae,SAPINDACEAE
Rosids,Malvales,Sarcolaenaceae,SARCOLAENACEAE
Rosids,Brassicales,Setchellanthaceae,
Rosids,Sapindales,Simaroubaceae,SIMAROUBACEAE
Rosids,Malvales,Sphaerosepalaceae,SPHAEROSEPALACEAE
Rosids,Crossosomatales,Stachyuraceae,STACHYURACEAE
Rosids,Crossosomatales,Staphyleaceae,STAPHYLEACEAE
Rosids,Crossosomatales,Strasburgeriaceae,STRASBURGERIACEAE
Rosids,Fabales,Surianaceae,SURIANACEAE
Rosids,Huerteales,Tapisciaceae,TAPISCIACEAE
Rosids,Cucurbitales,Tetramelaceae,TETRAMELACEAE
Rosids,Malvales,Thymelaeaceae,THYMELAEACEAE
Rosids,Fagales,Ticodendraceae,TICODENDRACEAE
Rosids,Brassicales,Tovariaceae,
Rosids,Malpighiales,Trigoniaceae,TRIGONIACEAE
Rosids,Brassicales,Tropaeolaceae,TROPAEOLACEAE
Rosids,Rosales,Ulmaceae,ULMACEAE
Rosids,Rosales,Urticaceae,URTICACEAE
Rosids,Malpighiales,Violaceae,VIOLACEAE
Rosids,Myrtales,Vochysiaceae,VOCHYSIACEAE
